6.35532;5.16733;7.58472
9.55501;3.13949;7.04294
0.91528;1.36713;7.34725
3.89178;2.98847;3.08571
6.24372;6.27223;8.04125
4.50534;6.04509;8.78333
2.0821;5.93502;5.14992
5.45988;6.99236;8.803
8.39893;3.89998;5.4564
5.77698;2.38399;0.694804
3.37485;9.18675;0.173075
1.14808;6.61825;5.49252
4.13631;1.82423;1.74092
7.6467;2.80023;0.1134
7.73577;1.22122;5.74309
2.9517;9.76921;7.17595
2.05491;3.90604;1.7622
7.55033;3.95396;8.44476
7.97586;1.80274;4.12646
3.20717;0.450033;7.90757
7.33788;4.52569;0.340752
3.76647;2.96341;7.93293
8.08993;0.717034;9.18843
1.27024;4.34794;7.59948
9.77259;9.84413;0.725384
6.39302;7.663;9.37987
0.0980881;3.32977;4.36698
0.283186;4.07009;7.99031
9.26373;1.20404;4.17455
7.00188;3.53836;7.53073
5.9252;1.83941;6.1214
5.21589;4.71278;3.74435
6.3712;5.32687;9.21294
8.21002;0.322396;6.95531
9.69811;5.29186;5.57067
8.8822;7.39417;8.46722
4.94701;6.0585;5.74851
0.144216;4.96184;1.78937
4.46218;2.41838;8.56844
1.83243;8.30753;4.23796
4.67241;0.599079;6.89455
7.23974;7.04102;2.76824
8.07833;3.4985;1.06934
9.0499;4.81326;6.18014
8.72003;8.62823;6.49705
4.42841;0.894127;5.96142
5.06744;1.13405;7.80966
8.68028;9.22342;9.59441
9.02993;9.92696;1.63832
1.9969;1.58179;4.6254
3.77809;1.81455;4.68167
6.63708;2.43436;8.3072
7.36527;8.34344;5.80139
2.10217;5.37654;2.40979
2.74082;2.91366;2.8262
1.25457;3.27442;4.02774
1.10187;7.83651;3.06672
2.30572;7.69554;3.55988
1.38271;4.47617;0.390318
6.35773;7.40283;4.26575
8.76589;4.43998;0.635107
7.42502;1.45656;8.35084
5.58156;8.27874;3.93358
9.09319;0.925648;2.12038
1.45367;9.72393;3.70408
3.19966;1.72762;9.4096
2.05872;1.82892;6.67168
6.70853;4.31216;9.38622
0.567118;9.82395;5.41254
7.46115;6.23037;3.36159
9.46641;7.02589;5.71127
0.73155;5.6416;0.149337
0.34539;9.91698;6.47811
9.39161;9.26765;7.10723
0.315823;1.1179;9.59473
4.73068;5.37697;1.05182
1.29875;5.58644;4.35233
5.44037;6.59883;3.97106
4.24205;9.4936;2.69861
3.28385;0.574794;9.10279
4.2957;2.6665;6.23308
1.9736;1.14013;9.51409
9.035;0.138666;9.30931
9.26226;8.11679;3.12975
2.33328;4.53981;8.15836
5.27643;3.45762;7.93852
2.19617;2.07826;8.94729
0.591105;5.95938;2.29806
9.65791;5.93215;9.22103
4.17307;7.58049;2.30269
